Time (s),Limonene-FB = 20 µm (ref),Toluene-FB = 20 µm (v1),Limonene-FB = 10 µm (v2),Toluene-FB = 10 µm (v3)
0.0,0.0,0.0,0.0,0.0
211447.23618090453,0.0,0.0,0.0,0.0
422894.47236180905,0.0,0.0,0.0,0.0
634341.7085427135,0.0,0.0,0.0,0.0
845788.9447236181,0.0,0.0,0.0,0.0
1057236.1809045225,0.0,0.0,0.0,0.0
1268683.417085427,0.0,0.0,0.0,0.0
1480130.6532663316,0.0,0.0,0.0,0.0
1691577.8894472362,0.0,0.0,0.0,0.0
1903025.1256281408,0.0,0.0,0.0,0.0
2114472.361809045,0.0,0.0,0.0,0.0
2325919.59798995,0.0,0.0,0.0,0.0
2537366.834170854,0.0,0.0,0.0,0.0
2748814.070351759,0.0,0.0,0.0,0.0
2960261.3065326633,0.0,0.0,0.0,0.0
3171708.542713568,0.0,0.0,0.0,0.0
3383155.7788944724,0.0,0.0,0.0,0.0
3594603.0150753767,0.0,0.0,0.0,0.0
3806050.2512562815,0.0,0.0,0.0,0.0
4017497.487437186,0.0,0.0,0.0,0.0
4228944.72361809,0.0,0.0,0.0,0.0
4440391.959798995,0.0,0.0,0.0,0.0
4651839.1959799,0.0,0.0,0.0,0.0
4863286.432160804,0.0,0.0,0.0,0.0
5074733.668341708,0.0,0.0,0.0,0.0
5286180.904522613,0.0,0.0,0.0,0.0
5497628.140703518,0.0,0.0,0.0,0.0
5709075.376884422,0.0,0.0,0.0,0.0
5920522.613065327,0.0,0.0,0.0,0.0
6131969.849246231,0.0,0.0,0.0,0.0
6343417.085427136,0.0,0.0,0.0,0.0
6554864.3216080405,0.0,0.0,0.0,0.0
6766311.557788945,0.0,0.0,0.0,0.0
6977758.793969849,0.0,0.0,0.0,0.0
7189206.030150753,0.0,0.0,0.0,0.0
7400653.266331659,0.0,0.0,0.0,0.0
7612100.502512563,0.0,0.0,0.0,0.0
7823547.738693467,0.0,0.0,0.0,0.0
8034994.974874372,0.0,0.0,0.0,0.0
8246442.211055277,0.0,0.0,0.0,0.0
8457889.44723618,0.0,0.0,0.0,0.0
8669336.683417086,0.0,0.0,0.0,0.0
8880783.91959799,0.0,0.0,0.0,0.0
9092231.155778894,0.0,0.0,0.0,0.0
9303678.3919598,0.0,0.0,0.0,0.0
9515125.628140703,0.0,0.0,0.0,0.0
9726572.864321608,0.0,0.0,0.0,0.0
9938020.100502513,0.0,0.0,0.0,0.0
10149467.336683417,0.0,0.0,0.0,0.0
10360914.572864322,0.0,0.0,0.0,0.0
10572361.809045225,0.050710885708415684,0.052162940339489414,0.06331125159442769,0.05447934033592372
10783809.04522613,0.11706488369401633,0.11712097569911732,0.14227829980775433,0.12477863654798824
10995256.281407036,0.1580893481707772,0.15734009888565964,0.1910923318407942,0.17962993725697787
11206703.51758794,0.19087123763625982,0.1899916179333808,0.23033379224336195,0.23241048323330565
11418150.753768845,0.21912087617574982,0.21933515416526403,0.2650312049150881,0.28400907469785697
11629597.98994975,0.24439948601429673,0.24709160274453645,0.29732312049445586,0.33466968562027527
11841045.226130653,0.26753976823275155,0.27400892860976567,0.3282192038888794,0.3845199769940296
12052492.462311558,0.28905294463073017,0.3004256204136443,0.3582230923952492,0.433636773735723
12263939.698492462,0.3092822096626018,0.3265013121842961,0.3875985966057687,0.482068218637197
12475386.934673367,0.3284756457008349,0.3523149769924456,0.41649279889477153,0.5298460226564911
